class	method	parameters	returns
{LV.NumericText}	GetProperty	Index	GetProperty
{LV.NumericText}	GetPropertyCallData		GetPropertyCallData
{LV.NumericText}	GetTag	TagName	GetTag; Value; isPersistent
{LV.NumericText}	Move	position; owner; duplicate	
{LV.NumericText}	MoveToDefLoc		
{LV.NumericText}	ObjHighlight		
{LV.NumericText}	RemoveTag	TagName	RemoveTag; OldValue
{LV.NumericText}	Replace	Style; Path; PaletteString	Replace
{LV.NumericText}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.NumericText}	SetProperty	Index; Value	
{LV.NumericText}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.NumericText}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.NumericText}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.NumericWithScale}	Add Slider		
{LV.NumericWithScale}	AttachDataSocket	url; mode; enabled	
{LV.NumericWithScale}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.NumericWithScale}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.NumericWithScale}	Create Control Ref		Create Control Ref
{LV.NumericWithScale}	Create Invoke Node		Create Invoke Node
{LV.NumericWithScale}	Create Local		Create Local
{LV.NumericWithScale}	Create Property Node		Create Property Node
{LV.NumericWithScale}	Delete		
{LV.NumericWithScale}	Delete Slider		
{LV.NumericWithScale}	Discon Typedef		Discon Typedef
{LV.NumericWithScale}	Get Image	image depth; bg color	image data
{LV.NumericWithScale}	Get Term Image	image depth; background color	image data
{LV.NumericWithScale}	GetProperty	Index	GetProperty
{LV.NumericWithScale}	GetPropertyCallData		GetPropertyCallData
{LV.NumericWithScale}	GetTag	TagName	GetTag; Value; isPersistent
{LV.NumericWithScale}	Move	position; owner; duplicate	
{LV.NumericWithScale}	ObjHighlight		
{LV.NumericWithScale}	Reinit To Dflt		
{LV.NumericWithScale}	RemoveDataSocket		
{LV.NumericWithScale}	RemoveTag	TagName	RemoveTag; OldValue
{LV.NumericWithScale}	Replace	Style; Path; PaletteString	Replace
{LV.NumericWithScale}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.NumericWithScale}	SetProperty	Index; Value	
{LV.NumericWithScale}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.NumericWithScale}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.NumericWithScale}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.NumericWithScale}	Update Typedef		Update Typedef
{LV.Numeric}	AttachDataSocket	url; mode; enabled	
{LV.Numeric}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Numeric}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.Numeric}	Create Control Ref		Create Control Ref
{LV.Numeric}	Create Invoke Node		Create Invoke Node
{LV.Numeric}	Create Local		Create Local
{LV.Numeric}	Create Property Node		Create Property Node
{LV.Numeric}	Delete		
{LV.Numeric}	Discon Typedef		Discon Typedef
{LV.Numeric}	Get Image	image depth; bg color	image data
{LV.Numeric}	Get Term Image	image depth; background color	image data
{LV.Numeric}	GetProperty	Index	GetProperty
{LV.Numeric}	GetPropertyCallData		GetPropertyCallData
{LV.Numeric}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Numeric}	Move	position; owner; duplicate	
{LV.Numeric}	ObjHighlight		
{LV.Numeric}	Reinit To Dflt		
{LV.Numeric}	RemoveDataSocket		
{LV.Numeric}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Numeric}	Replace	Style; Path; PaletteString	Replace
{LV.Numeric}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Numeric}	SetProperty	Index; Value	
{LV.Numeric}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Numeric}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Numeric}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Numeric}	Update Typedef		Update Typedef
{LV.ObjectFunction}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.ObjectFunction}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.ObjectFunction}	Delete		
{LV.ObjectFunction}	GetProperty	Index	GetProperty
{LV.ObjectFunction}	GetPropertyCallData		GetPropertyCallData
{LV.ObjectFunction}	GetTag	TagName	GetTag; Value; isPersistent
{LV.ObjectFunction}	Move	position; owner; duplicate	
{LV.ObjectFunction}	ObjHighlight		
{LV.ObjectFunction}	RemoveTag	TagName	RemoveTag; OldValue
{LV.ObjectFunction}	Replace	Style; Path; PaletteString	Replace
{LV.ObjectFunction}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.ObjectFunction}	Resize	bounds	
{LV.ObjectFunction}	SetProperty	Index; Value	
{LV.ObjectFunction}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.ObjectFunction}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.ObjectFunction}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.OuterTerminal}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.OuterTerminal}	Connect Wire	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.OuterTerminal}	Create Constant	Value	Create Constant
{LV.OuterTerminal}	Create Control	Value	Create Control
{LV.OuterTerminal}	Create Described Wire	Wire Source; Wire Description; Auto Route? (F)	
{LV.OuterTerminal}	Create Indicator		Create Indicator
{LV.OuterTerminal}	Delete		
{LV.OuterTerminal}	GetProperty	Index	GetProperty
{LV.OuterTerminal}	GetPropertyCallData		GetPropertyCallData
{LV.OuterTerminal}	GetTag	TagName	GetTag; Value; isPersistent
{LV.OuterTerminal}	Move	position; owner; duplicate	
{LV.OuterTerminal}	ObjHighlight		
{LV.OuterTerminal}	RemoveTag	TagName	RemoveTag; OldValue
{LV.OuterTerminal}	Replace	Style; Path; PaletteString	Replace
{LV.OuterTerminal}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.OuterTerminal}	SetProperty	Index; Value	
{LV.OuterTerminal}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.OuterTerminal}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.OuterTerminal}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.PageSelector}	Add Page	Page; After	
{LV.PageSelector}	AttachDataSocket	url; mode; enabled	
{LV.PageSelector}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.PageSelector}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.PageSelector}	Create Control Ref		Create Control Ref
{LV.PageSelector}	Create Invoke Node		Create Invoke Node
{LV.PageSelector}	Create Local		Create Local
{LV.PageSelector}	Create Property Node		Create Property Node
{LV.PageSelector}	Delete		
{LV.PageSelector}	Discon Typedef		Discon Typedef
{LV.PageSelector}	Dup Page	Page	
{LV.PageSelector}	Get Image	image depth; bg color	image data
{LV.PageSelector}	Get Term Image	image depth; background color	image data
{LV.PageSelector}	GetProperty	Index	GetProperty
{LV.PageSelector}	GetPropertyCallData		GetPropertyCallData
{LV.PageSelector}	GetTag	TagName	GetTag; Value; isPersistent
{LV.PageSelector}	Move	position; owner; duplicate	
{LV.PageSelector}	ObjHighlight		
{LV.PageSelector}	Reinit To Dflt		
{LV.PageSelector}	Remove Page	Page	
{LV.PageSelector}	RemoveDataSocket		
{LV.PageSelector}	RemoveTag	TagName	RemoveTag; OldValue
{LV.PageSelector}	Replace	Style; Path; PaletteString	Replace
{LV.PageSelector}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.PageSelector}	SetProperty	Index; Value	
{LV.PageSelector}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.PageSelector}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.PageSelector}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.PageSelector}	Update Typedef		Update Typedef
{LV.Page}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Page}	Delete		
{LV.Page}	GetProperty	Index	GetProperty
{LV.Page}	GetPropertyCallData		GetPropertyCallData
{LV.Page}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Page}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Page}	SetProperty	Index; Value	
{LV.Page}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Page}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Page}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Panel}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Panel}	Clear Selection		
{LV.Panel}	Copy Selection		
{LV.Panel}	Delete		
{LV.Panel}	GetProperty	Index	GetProperty
{LV.Panel}	GetPropertyCallData		GetPropertyCallData
{LV.Panel}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Panel}	Group Objects	lock	
{LV.Panel}	Lock Objects	Objects	
{LV.Panel}	Make Selection	Objects	
{LV.Panel}	Make Space		
{LV.Panel}	Move	position; owner; duplicate	
{LV.Panel}	MoveSelectionBackward		
{LV.Panel}	MoveSelectionForward		
{LV.Panel}	MoveSelectionToBack		
{LV.Panel}	MoveSelectionToFront		
{LV.Panel}	ObjHighlight		
{LV.Panel}	Paste Selection	Pos; Pane	
{LV.Panel}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Panel}	Replace	Style; Path; PaletteString	Replace
{LV.Panel}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Panel}	Select All		
{LV.Panel}	Set Panel Order		
{LV.Panel}	SetProperty	Index; Value	
{LV.Panel}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Panel}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Panel}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Panel}	Ungroup Objects	Objects	
{LV.Panel}	Unlock Objects	Objects	
{LV.PathConstant}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.PathConstant}	Delete		
{LV.PathConstant}	Discon Typedef		Discon Typedef
{LV.PathConstant}	GetProperty	Index	GetProperty
{LV.PathConstant}	GetPropertyCallData		GetPropertyCallData
{LV.PathConstant}	GetTag	TagName	GetTag; Value; isPersistent
{LV.PathConstant}	Move	position; owner; duplicate	
{LV.PathConstant}	ObjHighlight		
{LV.PathConstant}	RemoveTag	TagName	RemoveTag; OldValue
{LV.PathConstant}	Replace	Style; Path; PaletteString	Replace
{LV.PathConstant}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.PathConstant}	SetProperty	Index; Value	
{LV.PathConstant}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.PathConstant}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.PathConstant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.PathConstant}	Update Typedef		Update Typedef
{LV.Path}	AttachDataSocket	url; mode; enabled	
{LV.Path}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Path}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.Path}	Create Control Ref		Create Control Ref
{LV.Path}	Create Invoke Node		Create Invoke Node
{LV.Path}	Create Local		Create Local
{LV.Path}	Create Property Node		Create Property Node
{LV.Path}	Delete		
{LV.Path}	Discon Typedef		Discon Typedef
{LV.Path}	Get Image	image depth; bg color	image data
{LV.Path}	Get Term Image	image depth; background color	image data
{LV.Path}	GetProperty	Index	GetProperty
{LV.Path}	GetPropertyCallData		GetPropertyCallData
{LV.Path}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Path}	Move	position; owner; duplicate	
{LV.Path}	ObjHighlight		
{LV.Path}	Reinit To Dflt		
{LV.Path}	RemoveDataSocket		
{LV.Path}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Path}	Replace	Style; Path; PaletteString	Replace
{LV.Path}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Path}	SetProperty	Index; Value	
{LV.Path}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Path}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Path}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Path}	Update Typedef		Update Typedef
{LV.Picture}	AttachDataSocket	url; mode; enabled	
{LV.Picture}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Picture}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.Picture}	Create Control Ref		Create Control Ref
{LV.Picture}	Create Invoke Node		Create Invoke Node
{LV.Picture}	Create Local		Create Local
{LV.Picture}	Create Property Node		Create Property Node
{LV.Picture}	Delete		
{LV.Picture}	Discon Typedef		Discon Typedef
{LV.Picture}	Get Image	image depth; bg color	image data
{LV.Picture}	Get Term Image	image depth; background color	image data
{LV.Picture}	GetProperty	Index	GetProperty
{LV.Picture}	GetPropertyCallData		GetPropertyCallData
{LV.Picture}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Picture}	Move	position; owner; duplicate	
{LV.Picture}	ObjHighlight		
{LV.Picture}	Reinit To Dflt		
{LV.Picture}	RemoveDataSocket		
{LV.Picture}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Picture}	Replace	Style; Path; PaletteString	Replace
{LV.Picture}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Picture}	SetProperty	Index; Value	
{LV.Picture}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Picture}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Picture}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Picture}	Update Typedef		Update Typedef
{LV.Plot}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Plot}	Delete		
{LV.Plot}	GetProperty	Index	GetProperty
{LV.Plot}	GetPropertyCallData		GetPropertyCallData
{LV.Plot}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Plot}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Plot}	SetProperty	Index; Value	
{LV.Plot}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Plot}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Plot}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.PolymorphicSubVI}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.PolymorphicSubVI}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.PolymorphicSubVI}	Delete		
{LV.PolymorphicSubVI}	FeedsThrough	term1; term2	FeedsThrough
{LV.PolymorphicSubVI}	GetProperty	Index	GetProperty
{LV.PolymorphicSubVI}	GetPropertyCallData		GetPropertyCallData
{LV.PolymorphicSubVI}	GetTag	TagName	GetTag; Value; isPersistent
{LV.PolymorphicSubVI}	Inline	mkspc; seqwrap	seqrefnum
{LV.PolymorphicSubVI}	Move	position; owner; duplicate	
{LV.PolymorphicSubVI}	ObjHighlight		
{LV.PolymorphicSubVI}	Relink To VI		Relink To VI
{LV.PolymorphicSubVI}	RemoveTag	TagName	RemoveTag; OldValue
{LV.PolymorphicSubVI}	Replace	Style; Path; PaletteString	Replace
{LV.PolymorphicSubVI}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.PolymorphicSubVI}	SetProperty	Index; Value	
{LV.PolymorphicSubVI}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.PolymorphicSubVI}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.PolymorphicSubVI}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Probe}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Probe}	Delete		
{LV.Probe}	GetProperty	Index	GetProperty
{LV.Probe}	GetPropertyCallData		GetPropertyCallData
{LV.Probe}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Probe}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Probe}	SetProperty	Index; Value	
{LV.Probe}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Probe}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Probe}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.PropertyItem}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.PropertyItem}	Delete		
{LV.PropertyItem}	GetProperty	Index	GetProperty
{LV.PropertyItem}	GetPropertyCallData		GetPropertyCallData
{LV.PropertyItem}	GetTag	TagName	GetTag; Value; isPersistent
{LV.PropertyItem}	Move	position; owner; duplicate	
{LV.PropertyItem}	ObjHighlight		
{LV.PropertyItem}	RemoveTag	TagName	RemoveTag; OldValue
{LV.PropertyItem}	Replace	Style; Path; PaletteString	Replace
{LV.PropertyItem}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.PropertyItem}	SetProperty	Index; Value	
{LV.PropertyItem}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.PropertyItem}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.PropertyItem}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Property}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Property}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Property}	Delete		
{LV.Property}	Get Prop Item	index	Get Prop Item
{LV.Property}	GetProperty	Index	GetProperty
{LV.Property}	GetPropertyCallData		GetPropertyCallData
{LV.Property}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Property}	Move	position; owner; duplicate	
{LV.Property}	ObjHighlight		
{LV.Property}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Property}	Replace	Style; Path; PaletteString	Replace
{LV.Property}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Property}	Resize	bounds	
{LV.Property}	SetProperty	Index; Value	
{LV.Property}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Property}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Property}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.RadioButtonsControl}	AttachDataSocket	url; mode; enabled	
{LV.RadioButtonsControl}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.RadioButtonsControl}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.RadioButtonsControl}	Create Control Ref		Create Control Ref
{LV.RadioButtonsControl}	Create Invoke Node		Create Invoke Node
{LV.RadioButtonsControl}	Create Local		Create Local
{LV.RadioButtonsControl}	Create Property Node		Create Property Node
{LV.RadioButtonsControl}	Delete		
{LV.RadioButtonsControl}	Discon Typedef		Discon Typedef
{LV.RadioButtonsControl}	Get Image	image depth; bg color	image data
{LV.RadioButtonsControl}	Get Term Image	image depth; background color	image data
{LV.RadioButtonsControl}	GetProperty	Index	GetProperty
{LV.RadioButtonsControl}	GetPropertyCallData		GetPropertyCallData
{LV.RadioButtonsControl}	GetTag	TagName	GetTag; Value; isPersistent
{LV.RadioButtonsControl}	Move	position; owner; duplicate	
{LV.RadioButtonsControl}	ObjHighlight		
{LV.RadioButtonsControl}	Reinit To Dflt		
{LV.RadioButtonsControl}	RemoveDataSocket		
{LV.RadioButtonsControl}	RemoveTag	TagName	RemoveTag; OldValue
{LV.RadioButtonsControl}	Replace	Style; Path; PaletteString	Replace
{LV.RadioButtonsControl}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.RadioButtonsControl}	Set Cluster Order	Element Refs	
{LV.RadioButtonsControl}	SetProperty	Index; Value	
{LV.RadioButtonsControl}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.RadioButtonsControl}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.RadioButtonsControl}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.RadioButtonsControl}	Update Typedef		Update Typedef
{LV.ReadWriteFile}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.ReadWriteFile}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.ReadWriteFile}	Delete		
{LV.ReadWriteFile}	GetProperty	Index	GetProperty
{LV.ReadWriteFile}	GetPropertyCallData		GetPropertyCallData
{LV.ReadWriteFile}	GetTag	TagName	GetTag; Value; isPersistent
{LV.ReadWriteFile}	Move	position; owner; duplicate	
{LV.ReadWriteFile}	ObjHighlight		
{LV.ReadWriteFile}	RemoveTag	TagName	RemoveTag; OldValue
{LV.ReadWriteFile}	Replace	Style; Path; PaletteString	Replace
{LV.ReadWriteFile}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.ReadWriteFile}	SetProperty	Index; Value	
{LV.ReadWriteFile}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.ReadWriteFile}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.ReadWriteFile}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.RefNum}	AttachDataSocket	url; mode; enabled	
{LV.RefNum}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.RefNum}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.RefNum}	Create Control Ref		Create Control Ref
{LV.RefNum}	Create Invoke Node		Create Invoke Node
{LV.RefNum}	Create Local		Create Local
{LV.RefNum}	Create Property Node		Create Property Node
{LV.RefNum}	Delete		
{LV.RefNum}	Discon Typedef		Discon Typedef
{LV.RefNum}	Get Image	image depth; bg color	image data
{LV.RefNum}	Get Term Image	image depth; background color	image data
{LV.RefNum}	GetProperty	Index	GetProperty
{LV.RefNum}	GetPropertyCallData		GetPropertyCallData
{LV.RefNum}	GetTag	TagName	GetTag; Value; isPersistent
{LV.RefNum}	Move	position; owner; duplicate	
{LV.RefNum}	ObjHighlight		
{LV.RefNum}	Reinit To Dflt		
{LV.RefNum}	RemoveDataSocket		
{LV.RefNum}	RemoveTag	TagName	RemoveTag; OldValue
{LV.RefNum}	Replace	Style; Path; PaletteString	Replace
{LV.RefNum}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.RefNum}	SetProperty	Index; Value	
{LV.RefNum}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.RefNum}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.RefNum}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.RefNum}	Update Typedef		Update Typedef
{LV.RightShiftRegister}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.RightShiftRegister}	Delete		
{LV.RightShiftRegister}	GetProperty	Index	GetProperty
{LV.RightShiftRegister}	GetPropertyCallData		GetPropertyCallData
{LV.RightShiftRegister}	GetTag	TagName	GetTag; Value; isPersistent
{LV.RightShiftRegister}	Move	position; owner; duplicate	
{LV.RightShiftRegister}	ObjHighlight		
{LV.RightShiftRegister}	RemoveTag	TagName	RemoveTag; OldValue
{LV.RightShiftRegister}	Replace	Style; Path; PaletteString	Replace
{LV.RightShiftRegister}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.RightShiftRegister}	SetProperty	Index; Value	
{LV.RightShiftRegister}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.RightShiftRegister}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.RightShiftRegister}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.RingConstant}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.RingConstant}	Delete		
{LV.RingConstant}	Discon Typedef		Discon Typedef
{LV.RingConstant}	GetProperty	Index	GetProperty
{LV.RingConstant}	GetPropertyCallData		GetPropertyCallData
{LV.RingConstant}	GetTag	TagName	GetTag; Value; isPersistent
{LV.RingConstant}	Move	position; owner; duplicate	
{LV.RingConstant}	ObjHighlight		
{LV.RingConstant}	RemoveTag	TagName	RemoveTag; OldValue
{LV.RingConstant}	Replace	Style; Path; PaletteString	Replace
{LV.RingConstant}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.RingConstant}	SetProperty	Index; Value	
{LV.RingConstant}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.RingConstant}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.RingConstant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.RingConstant}	Update Typedef		Update Typedef
{LV.Ring}	AttachDataSocket	url; mode; enabled	
{LV.Ring}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Ring}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.Ring}	Create Control Ref		Create Control Ref
{LV.Ring}	Create Invoke Node		Create Invoke Node
{LV.Ring}	Create Local		Create Local
{LV.Ring}	Create Property Node		Create Property Node
{LV.Ring}	Delete		
{LV.Ring}	Discon Typedef		Discon Typedef
{LV.Ring}	Get Image	image depth; bg color	image data
{LV.Ring}	Get Term Image	image depth; background color	image data
{LV.Ring}	GetProperty	Index	GetProperty
{LV.Ring}	GetPropertyCallData		GetPropertyCallData
{LV.Ring}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Ring}	Move	position; owner; duplicate	
{LV.Ring}	ObjHighlight		
{LV.Ring}	Reinit To Dflt		
{LV.Ring}	RemoveDataSocket		
{LV.Ring}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Ring}	Replace	Style; Path; PaletteString	Replace
{LV.Ring}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Ring}	SetProperty	Index; Value	
{LV.Ring}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Ring}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Ring}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Ring}	Update Typedef		Update Typedef
{LV.RotaryColorScale}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.RotaryColorScale}	Delete		
{LV.RotaryColorScale}	GetProperty	Index	GetProperty
{LV.RotaryColorScale}	GetPropertyCallData		GetPropertyCallData
{LV.RotaryColorScale}	GetTag	TagName	GetTag; Value; isPersistent
{LV.RotaryColorScale}	Move	position; owner; duplicate	
{LV.RotaryColorScale}	ObjHighlight		
{LV.RotaryColorScale}	RemoveTag	TagName	RemoveTag; OldValue
{LV.RotaryColorScale}	Replace	Style; Path; PaletteString	Replace
{LV.RotaryColorScale}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.RotaryColorScale}	SetProperty	Index; Value	
{LV.RotaryColorScale}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.RotaryColorScale}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.RotaryColorScale}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Scale}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Scale}	Delete		
{LV.Scale}	GetProperty	Index	GetProperty
{LV.Scale}	GetPropertyCallData		GetPropertyCallData
{LV.Scale}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Scale}	Move	position; owner; duplicate	
{LV.Scale}	ObjHighlight		
{LV.Scale}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Scale}	Replace	Style; Path; PaletteString	Replace
